sno,description,title,author,publishedAt,source,desc_subjectivity,desc_polarity,titl_subjectivity,titl_polarity
1,"CNN's Gloria Borger reports former Trump attorney, Jay Goldberg, called the President to warn him that Michael Cohen could turn on him.",Former Trump attorney warns Trump about Cohen,,2018-04-19T00:50:09Z,1,0,0,0,0
2,Fox News Panama Trump hotel owner trying to evict Trump Organization officials Fox News The Trump Organization is battling eviction from the majority owner of the Trump Hotel in Panama. (AP). One of President Donald Trump's family businesses is battling an ef…,Panama Trump hotel owner trying to evict Trump Organization officials - Fox News,Associated Press,2018-02-26T20:06:14Z,2,0,0,0,0
3,Trump accuser Rachel Crooks responds after President Donald Trump directs a tweet at her.,Accuser fires back: He should be afraid,,2018-02-21T03:30:49Z,1,0,0,0.45,-0.3
4,"President Trump listened to students, teachers and parents on gun reforms and school security; Eric Trump discusses his father's actions and Donald Trump Jr.'s business in India on 'The Ingraham Angle.'","Eric Trump on addressing gun violence, business in India",,2018-02-23T03:27:17Z,2,0,0,0,0
5,"Fox News Michael Moore participated in anti-Trump rally allegedly organized by Russians Fox News ""Michelle Malkin Investigates"" host Michelle Malkin on filmmaker Michael Moore's participation in a Russia sponsored anti-Trump rally and the Russian indictments.…",Michael Moore participated in anti-Trump rally allegedly organized by Russians - Fox News,Gregg Re,2018-02-20T06:21:30Z,2,0.05,-0.05,0.1,-0.1
6,President Trump weighs in on allegations that the FBI used the dubious anti-Trump dossier to get permission from the FISA court to eavesdrop on Trump campaign and transition team communications.,Trump reacts to contents of Nunes memo: It's a disgrace,,2018-02-02T20:38:05Z,2,0,0,0,0
7,"Fox News Rosie O'Donnell selling anti-Trump T-shirt that calls president 'rapist' 'racist' 'liar' Fox News Comedian Rosie O'Donnell put her dislike for President Trump on t-shirts. They apparel is selling on Etsy, with proceeds going to ""anti-Trump candidates…",Rosie O'Donnell selling anti-Trump T-shirt that calls president 'rapist' 'racist' 'liar' - Fox News,Sasha Savitsky,2018-02-23T14:03:20Z,2,0,0,0,0
8,Rachel Crooks alleges the incident occurred in 2006; President Trump takes to Twitter to slam the accusation on as 'fake news.',President Trump denies forcibly kissing woman in Trump Tower,,2018-02-20T21:00:44Z,2,1,-0.5,1,0.5
9,"On 'Fox &amp; Friends,' President Trump's son reflects on his father's CPAC speech, vow to make changes to prevent mass shootings and the Democratic FISA memo.","Eric Trump: Everything Trump said he would do, he's done",,2018-02-26T13:06:35Z,2,0,0,0,0
10,"CNN Ivanka Trump, US charmer-in-chief, touches down in South Korea CNN (CNN) Ivanka Trump, eldest daughter of US President Donald Trump, arrived in South Korea Friday as part of a charm offensive in the closing days of the 2018 Winter Olympics. While Trump to…","Ivanka Trump, US charmer-in-chief, touches down in South Korea - CNN","Ben Westcott, CNN",2018-02-23T09:13:42Z,1,0.2888888889,-0.1555555556,0.2888888889,-0.1555555556
11,"Fox News FOX NEWS FIRST: Trump supports changes to gun background checks, urges 'insecure' Oprah to run in 2020 Fox News FIRESTORM OVER TRUMP TWEETSTORM: As criticism is mounting against the FBI for failing to act on multiple warnings about Nikolas Cruz. Pres…","FOX NEWS FIRST: Trump supports changes to gun background checks, urges 'insecure' Oprah to run in 2020 - Fox News",Fox News,2018-02-19T10:03:30Z,2,0.4027777778,-0.0833333333,0.6041666667,-0.125
12,Trump says indictment of 13 Russian nationals shows Trump campaign did nothing wrong; reaction and analysis on 'The Five.',President Trump reacts to indictments: no collusion,,2018-02-16T22:26:58Z,2,0.45,-0.25,0,0
