sno,description,title,author,publishedAt,source,desc_subjectivity,desc_polarity,titl_subjectivity,titl_polarity,,,,
1,"Paints them as anti-black, anti-women.",Hillary rips Trump voters,,2018-03-19T14:31:32Z,2,0,0,0,0,,,,
2,"Read Fast Facts from CNN about former Secretary of State Hillary Clinton, and learn more information about the 2016 Democratic presidential candidate.",Hillary Clinton Fast Facts,CNN Library,2018-03-29T18:20:47Z,1,0.3666666667,0.2333333333,0.6,0.2,,,,
3,"Fox News Hillary Clinton's 'Fire and Fury' reading on Grammys slammed by Nikki Haley, Donald Trump, Jr. Fox News Hillary Clinton reads from ""Fire and Fury"" in a skit for the 60th Annual Grammy Awards. (CBS). Hillary Clinton's surprise Trump-bashing cameo duri…","Hillary Clinton's 'Fire and Fury' reading on Grammys slammed by Nikki Haley, Donald Trump, Jr. - Fox News",Sasha Savitsky,2018-01-29T11:13:20Z,2,0,0,0,0,,,,
4,"Fox News Hillary Clinton slammed for no-apology response to harassment story Fox News According to the New York Times, Hillary Clinton shielded faith adviser Burns Strider after co-worker accused him of sexual harassment; reaction and analysis on 'The Five.' …",Hillary Clinton slammed for no-apology response to harassment story - Fox News,Brooke Singman,2018-01-29T14:41:09Z,2,0.6439393939,0.3181818182,0,0,,,,
5,"Fox News Hillary Clinton fractures wrist after slipping in India resort bathtub, report says Fox News Hillary Clinton's visit to India suffered another setback this week as the former secretary of state fractured her wrist after slipping in the bathtub at the…","Hillary Clinton fractures wrist after slipping in India resort bathtub, report says - Fox News",Samuel Chamberlain,2018-03-16T01:04:13Z,2,0.0666666667,-0.0666666667,0.1,-0.1,,,,
6,"Fox News Cory Booker, on 'The View,' wants to discuss the future, not Hillary: 'Clinton lost the electoral vote' Fox News Sen. Cory Booker didn't want to discuss Hillary Clinton's recent controversial comments during Monday's appearance on “The View."" Sen. Co…","Cory Booker, on 'The View,' wants to discuss the future, not Hillary: 'Clinton lost the electoral vote' - Fox News",Brian Flood,2018-03-19T20:54:14Z,2,0.35625,0.1875,0.1125,0.1,,,,
7,"As all eyes are on President Trump's State of the Union address, Clinton explains why she didn't fire a former campaign adviser over sexual harassment allegations against a female staffer. Besides, the questionable timing, here's why her explanation failed. #…",Hillary has a #MeToo failure - here's why,,2018-02-01T02:14:51Z,2,0.46,-0.1,0.3,-0.3166666667,,,,
8,Hillary Clinton accuses President Trump of ignoring and 'surrendering' to the threat of Russia. But what about President Obama? #Tucker,Hillary believes the 'Russians are still coming',,2018-03-01T01:47:07Z,2,0,0,0,0,,,,
9,"New York Post Can Republicans win without Hillary? Fox News On the roster: Can Republicans win without Hillary? - House vacancies hit 26-year high - Trump heads to Ohio to revive infrastructure plan - The Judge's Ruling: Free from death, free in life - Not so…",Can Republicans win without Hillary? - Fox News,Chris Stirewalt,2018-03-29T20:22:01Z,2,0.5657575758,0.4493939394,0.4,0.8,,,,
10,"Fox News Hillary Clinton claims 'Fox News is always trying to impeach me' Fox News Democratic 2016 presidential hopeful Hillary Clinton claimed Tuesday that Fox News is “trying to impeach me,” the latest gripe the former secretary of state has expressed about…",Hillary Clinton claims 'Fox News is always trying to impeach me' - Fox News,Adam Shaw,2018-04-04T16:36:16Z,2,0.45,0.25,0,0,,,,
